,weight,total_gross_income,pitax,table_row
535,10.0,50.647487551665606,7.147123132749841,1
200,10.0,72.59473215738736,7.259473215738736,1
55,10.0,102.98322468838671,10.298322468838672,1
314,10.0,168.82495850555196,16.8824958505552,1
487,10.0,168.82495850555196,25.323743775832792,1
428,10.0,202.58995020666242,20.258995020666244,1
490,10.0,204.2781997917179,20.42781997917179,1
7,10.0,253.2374377583279,25.323743775832792,1
9,10.0,270.1199336088832,39.31799004133247,1
753,10.0,337.6499170111039,33.7649917011104,1
729,10.0,337.6499170111039,50.04748755166559,1
165,10.0,337.6499170111039,33.7649917011104,1
19,10.0,344.40291535132604,34.44029153513261,1
657,10.0,347.7794145214371,50.726912178215564,1
527,10.0,351.1559136915481,35.115591369154814,1
597,10.0,351.1559136915481,51.953387053732214,1
218,10.0,369.7266591271589,55.023998869073836,1
222,10.0,410.2446491684912,61.491697375273674,1
340,10.0,413.62114833860244,26.885374642009165,1
477,10.0,422.06239626388003,42.206239626388005,1
762,10.0,422.06239626388003,62.559359439582,1
616,10.0,437.2566425293797,43.725664252937975,1
640,10.0,438.94489211443516,64.34173381716528,1
304,10.0,440.63314169949064,28.641154210466894,1
276,10.0,445.6978904546572,66.34468356819859,1
709,10.0,449.0743896247684,66.67115844371526,1
495,10.0,504.7866259316005,50.47866259316005,1
724,10.0,506.4748755166558,75.07123132749837,1
504,10.0,506.4748755166558,75.37123132749836,1
543,10.0,629.7170952257088,94.11256428385633,1
532,10.0,675.2998340222078,100.54497510333117,1
659,10.0,675.2998340222078,100.24497510333117,1
147,10.0,675.2998340222078,67.5299834022208,1
338,10.0,704.0000769681518,105.34501154522276,1
526,10.0,749.5828157646507,74.95828157646507,1
760,10.0,751.2710653497062,111.26565980245593,1
389,10.0,759.712313274984,75.9712313274984,1
455,10.0,844.1247925277601,84.41247925277601,1
198,10.0,844.1247925277601,84.41247925277601,1
754,10.0,847.5012916978711,84.75012916978712,1
59,10.0,862.6955379633707,128.6393306945056,1
524,10.0,928.5372717805357,92.85372717805357,1
555,10.0,938.6667692908691,93.8666769290869,1
669,10.0,938.6667692908691,93.8666769290869,1
204,10.0,938.6667692908691,93.8666769290869,1
562,10.0,938.6667692908691,93.8666769290869,1
747,10.0,957.2375147264797,62.22043845722119,1
476,10.0,1154.762716177976,75.05957655156844,1
580,10.0,1195.280706219308,77.69324590425504,1
710,10.0,1244.2399441859181,80.87559637208469,1
718,10.0,1249.3046929410848,81.20480504117052,1
588,10.0,1269.563687961751,25.391273759235016,1
258,10.0,1353.9761672145273,88.0084508689443,1
518,10.0,1353.9761672145273,88.0084508689443,1
52,10.0,1406.3119043512481,209.4017856526872,1
666,10.0,1455.2711423178584,0.0,1
520,10.0,1485.6596348488572,96.56787626517573,1
732,10.0,1519.424626549968,151.9424626549968,1
665,10.0,1544.7483703258001,231.33725554887002,1
32,10.0,1570.0721141016334,102.05468741660617,1
14,10.0,1612.278353728022,241.6167530592033,1
538,10.0,1620.7196016532994,242.8079402479949,1
500,10.0,1620.7196016532994,32.41439203306597,1
388,10.0,1666.302340449798,0.0,1
649,10.0,1688.2495850555201,253.237437758328,1
38,10.0,1755.7795684577407,263.0669352686611,1
181,10.0,1759.1560676278514,114.34514439581035,1
183,10.0,1806.4270560094064,117.41775864061142,1
605,10.0,1824.997801445017,136.8748351083763,1
180,10.0,1835.1272989553504,273.06409484330254,1
191,10.0,1836.8155485404054,119.39301065512637,1
37,10.0,1862.1392923162384,121.03905400055551,1
20,10.0,1870.5805402415156,280.3170810362273,1
365,10.0,1873.9570394116272,121.80720756175579,1
58,10.0,1875.6452889966824,187.56452889966826,1
533,10.0,1875.6452889966824,187.56452889966826,1
76,10.0,1875.6452889966824,187.56452889966826,1
443,10.0,1877.3335385817381,187.7333538581738,1
110,10.0,1965.122517004625,196.5122517004625,1
698,10.0,1975.2520145149585,128.3913809434723,1
163,10.0,2025.8995020666232,202.58995020666234,1
569,10.0,2030.9642508217905,132.0126763034164,1
71,10.0,2034.3407499919015,132.2321487494736,1
505,10.0,2063.040992937845,206.30409929378453,1
430,10.0,2071.4822408631226,207.14822408631227,1
528,10.0,2118.7532292446776,309.0379843867016,1
278,10.0,2296.0194356755073,336.9029153513261,1
372,10.0,2319.654929866285,347.58823947994273,1
512,10.0,2356.7964207375057,0.0,1
628,10.0,2431.079402479949,363.1619103719923,1
531,10.0,2478.3503908615025,161.09277540599768,1
405,10.0,2550.9451230188906,255.09451230188907,1
195,10.0,2569.5158684545013,385.3973802681752,1
70,10.0,2577.9571163797787,381.0385674569668,1
303,10.0,2601.5926105705557,383.0238915855834,1
589,10.0,2625.2281047613337,262.5228104761334,1
720,10.0,2633.6693526866106,390.5504029029916,1
126,10.0,2637.045851856722,394.62687777850834,1
772,10.0,2675.875592312999,267.5875592312999,1
619,10.0,2684.3168402382767,268.4316840238277,1
648,10.0,2734.964327789942,177.77268130634627,1
363,10.0,2736.6525773749977,0.0,1
590,10.0,2768.729319491052,415.3093979236578,1
92,10.0,2814.3120582875517,281.4312058287552,1
633,10.0,2834.571053308218,424.90065799623267,1
693,10.0,2870.024294594384,427.5036441891576,1
271,10.0,2870.024294594384,287.0024294594384,1
223,10.0,3038.849253099936,303.8849253099936,1
773,10.0,3077.678993556213,461.6068490334319,1
677,10.0,3087.8084910665457,462.4362736599818,1
391,10.0,3118.1969835975447,463.2745475396317,1
612,10.0,3119.8852331825997,311.98852331826,1
427,10.0,3195.856464510099,319.58564645100995,1
155,10.0,3376.4991701110403,337.64991701110404,1
563,10.0,3384.9404180363176,504.8160627054476,1
624,10.0,3460.9116493638153,519.1367474045722,1
106,10.0,3545.324128616591,354.53241286165917,1
570,10.0,3557.1418757119795,529.5662813567969,1
186,10.0,3592.595116998147,538.319267549722,1
361,10.0,3617.9188607739798,539.7928291160969,1
11,10.0,3621.2953599440907,541.4693039916136,1
373,10.0,3633.1131070394786,544.9369660559217,1
749,10.0,3709.084338366977,540.3576507550466,1
578,10.0,3736.096331727866,560.3694497591798,1
280,10.0,3751.290577993365,562.6635866990048,1
162,10.0,3751.290577993365,375.1290577993365,1
356,10.0,3751.290577993365,375.1290577993365,1
164,10.0,3751.290577993365,375.1290577993365,1
216,10.0,3751.290577993365,375.1290577993365,1
572,10.0,3751.290577993365,375.1290577993365,1
441,10.0,3751.290577993365,562.6635866990048,1
214,10.0,3960.6335265402486,0.0,1
445,10.0,4102.446491684913,266.65902195951935,1
307,10.0,4126.08198587569,0.0,1
91,10.0,4198.676718033078,419.8676718033078,1
715,10.0,4220.6239626388,633.0935943958199,1
637,10.0,4239.19470807441,423.91947080744103,1
83,10.0,4247.635955999687,632.705393399953,1
551,10.0,4321.918937742131,280.9247309532385,1
326,10.0,4369.189926123686,653.1584889185528,1
734,10.0,4379.319423634019,655.0379135451028,1
462,10.0,4551.5208813096815,295.8488572851293,1
331,10.0,4664.633603508401,396.49385629821415,1
233,10.0,4698.398595209512,692.8647892814267,1
471,10.0,4710.2163423049005,705.032451345735,1
759,10.0,4784.499324047343,478.44993240473434,1
610,10.0,4816.5760661633985,0.0,1
407,10.0,4846.964558694397,375.7537101458071,1
154,10.0,4862.158804959898,316.04032232239337,1
47,10.0,4892.547297490896,244.6273648745448,1
763,10.0,4899.300295831117,734.1150443746676,1
598,10.0,5003.971770104561,750.2357655156842,1
651,10.0,5022.542515540172,326.4652635101112,1
608,10.0,5064.74875516656,329.2086690858264,1
173,10.0,5064.74875516656,101.29497510333118,1
617,10.0,5064.74875516656,329.2086690858264,1
50,10.0,5137.343487323948,765.4565230985921,1
